Produto,Preco Atual,Preco Mais Baixo,Data,Zoom Link
Galaxy S9,2199,2199,24/12/2020,https://www.zoom.com.br/celular/smartphone-samsung-galaxy-s9-sm-g9600-128gb?_lc=88&q=s9
Galaxy S9+,4677,4677,25/12/2020,https://www.zoom.com.br/celular/smartphone-samsung-galaxy-s9-plus-sm-g9650-128gb?_lc=88&q=s9
Galaxy S10,2499,2039,21/12/2020,https://www.zoom.com.br/celular/smartphone-samsung-galaxy-s10-128gb-4g?_lc=88&q=s10
Galaxy S10+,2696,2510,29/10/2020,https://www.zoom.com.br/celular/smartphone-samsung-galaxy-s10-plus-128gb-4g?_lc=88&q=s10
Galaxy S10e,2399,1759,23/10/2020,https://www.zoom.com.br/celular/smartphone-samsung-galaxy-s10e-128gb-4g?_lc=88&q=s10
Galaxy S20,3347,3347,25/12/2020,https://www.zoom.com.br/celular/smartphone-samsung-galaxy-s20-128gb-android?_lc=88&q=s20
Galaxy S20+,3329,3119,23/10/2020,https://www.zoom.com.br/celular/smartphone-samsung-galaxy-s20-plus-128gb-android?_lc=88&q=s20
Galaxy S20 FE,2798,2332,26/10/2020,https://www.zoom.com.br/celular/pre-venda-smartphone-samsung-galaxy-s20-fe-128gb-android?_lc=88&q=s20%20fe
Galaxy Note 10,2599,2599,24/12/2020,https://www.zoom.com.br/celular/smartphone-samsung-galaxy-note-10-256gb-4g?_lc=88&q=galaxy%20note%2010
Galaxy Note 10+,3499,3499,25/12/2020,https://www.zoom.com.br/celular/smartphone-samsung-galaxy-note-10-plus-sm-n975f-256gb?_lc=88&q=galaxy%20note%2010
Galaxy Note 10 Lite,2199,1759,23/10/2020,https://www.zoom.com.br/celular/smartphone-samsung-galaxy-note-10-lite-sm-n770f-128gb?_lc=88&q=galaxy%20note%2010
